1,V-easy,3
2,V0-,4-
3,V0,4
4,V0+,4+
5,V0-1,4+
6,V1-,5-
7,V1,5
8,V1+,5
9,V1-2,5
10,V2-,5+
11,V2,5+
12,V2+,5+
13,V2-3,5+
14,V3-,6A
15,V3,6A
16,V3+,6A+
17,V3-4,6A+
18,V4-,6B
19,V4,6B
20,V4+,6B+
21,V4-5,6B+
22,V5-,6C
23,V5,6C
24,V5+,6C+
25,V5-6,6C+
26,V6-,7A
27,V6,7A
28,V6+,7A
29,V6-7,7A+
30,V7-,7A+
31,V7,7A+
32,V7+,7A+
33,V7-8,7B
34,V8-,7B
35,V8,7B
36,V8+,7B+
37,V8-9,7B+
38,V9-,7C
39,V9,7C
40,V9+,7C
41,V9-10,7C+
42,V10-,7C+
43,V10,7C+
44,V10+,7C+
45,V10-11,8A
46,V11-,8A
47,V11,8A
48,V11+,8A
49,V11-12,8A+
50,V12-,8A+
51,V12,8A+
52,V12+,8A+
53,V12-13,8B
54,V13-,8B
55,V13,8B
56,V13+,8B
57,V13-14,8B+
58,V14-,8B+
59,V14,8B+
60,V14+,8B+
61,V14-15,8C
62,V15-,8C
63,V15,8C
64,V15+,8C
65,V15-16,8C+
66,V16-,8C+
67,V16,8C+
68,V16+,8C+
69,V16-17,9A
70,V17-,9A
71,V17,9A